January,February,March,April,May,June,July,August,September,October,November,December
0.959999979,1.269999981,1.389999986,1.559999943,0.799999952,0.829999983,0.949999988,0.280000001,0.550000012,1.789999962,1.50999999,1.299999952
1,1.309999943,1.319999933,1.569999933,0.779999971,0.799999952,0.949999988,0.25999999,0.550000012,1.709999919,1.469999909,1.329999924
1.049999952,1.289999962,1.25999999,1.559999943,0.75999999,0.75999999,0.949999988,0.25,0.539999962,1.639999986,1.449999928,1.339999914
1.110000014,1.25,1.209999919,1.569999933,0.74000001,0.74000001,0.949999988,0.25,0.539999962,1.579999924,1.449999928,1.360000014
1.189999938,1.319999933,1.159999967,1.549999952,0.709999979,0.709999979,0.949999988,0.269999981,0.529999971,1.539999962,1.480000019,1.379999995
1.299999952,1.429999948,1.120000005,1.50999999,0.689999998,0.680000007,0.949999988,0.299999982,0.529999971,1.5,1.539999962,1.389999986
1.429999948,1.579999924,1.090000033,1.469999909,0.659999967,0.659999967,0.949999988,0.340000004,0.529999971,1.480000019,1.599999905,1.399999976
1.730000019,1.639999986,1.059999943,1.370000005,0.649999976,0.639999986,0.939999998,0.439999998,0.519999981,1.379999995,1.610000014,1.439999938
1.9799999,1.74000001,1.039999962,1.299999952,0.629999995,0.620000005,0.930000007,0.479999989,0.519999981,1.309999943,1.549999952,1.49000001
2.220000029,1.860000014,1.00999999,1.269999981,0.610000014,0.589999974,0.930000007,0.479999989,0.539999962,1.25999999,1.49000001,1.549999952
2.399999857,1.919999957,0.969999969,1.209999919,0.599999964,0.569999993,0.919999957,0.519999981,0.560000002,1.199999928,1.5,1.579999924
2.539999962,1.959999919,0.919999957,1.159999967,0.589999974,0.550000012,0.909999967,0.560000002,0.569999993,1.139999986,1.579999924,1.599999905
2.629999876,1.9799999,0.879999995,1.120000005,0.589999974,0.529999971,0.899999976,0.599999964,0.579999983,1.100000024,1.709999919,1.599999905
2.619999886,2.00999999,0.839999974,1.079999924,0.599999964,0.5,0.899999976,0.659999967,0.579999983,1.059999943,1.829999924,1.579999924
2.549999952,2.049999952,0.799999952,1.059999943,0.599999964,0.479999989,0.889999986,0.719999969,0.579999983,1.019999981,1.949999928,1.539999962
2.450000048,2.079999924,0.75999999,1.039999962,0.610000014,0.469999999,0.879999995,0.789999962,0.569999993,0.979999959,2.069999933,1.5
2.389999866,2.069999933,0.729999959,1.019999981,0.610000014,0.449999988,0.859999955,0.849999964,0.569999993,0.949999988,2.089999914,1.439999938
2.349999905,2.039999962,0.689999998,1,0.620000005,0.429999977,0.829999983,0.909999967,0.569999993,0.939999998,2.049999952,1.389999986
2.339999914,2,0.669999957,0.979999959,0.620000005,0.409999996,0.789999962,0.959999979,0.579999983,0.930000007,1.9799999,1.329999924
2.319999933,1.969999909,0.649999976,0.969999969,0.620000005,0.399999976,0.75999999,0.98999995,0.599999964,0.939999998,1.899999976,1.299999952
2.309999943,1.949999928,0.629999995,0.959999979,0.610000014,0.399999976,0.719999969,0.98999995,0.620000005,0.969999969,1.819999933,1.279999971
2.299999952,1.919999957,0.599999964,0.939999998,0.599999964,0.399999976,0.680000007,0.98999995,0.639999986,1.019999981,1.75,1.279999971
2.24000001,1.789999962,0.589999974,0.930000007,0.579999983,0.419999987,0.649999976,1.079999924,0.649999976,1.049999952,1.679999948,1.299999952
2.139999866,1.610000014,0.579999983,0.909999967,0.560000002,0.429999977,0.620000005,1.230000019,0.659999967,1.069999933,1.620000005,1.329999924
2.019999981,1.389999986,0.569999993,0.889999986,0.550000012,0.449999988,0.589999974,1.429999948,0.649999976,1.090000033,1.549999952,1.370000005
1.879999995,1.199999928,0.569999993,0.879999995,0.529999971,0.469999999,0.569999993,1.549999952,0.639999986,1.090000033,1.50999999,1.419999957
1.75,1.029999971,0.569999993,0.859999955,0.519999981,0.479999989,0.550000012,1.639999986,0.629999995,1.069999933,1.49000001,1.469999909
