January,February,March,April,May,June,July,August,September,October,November,December
11,3,147,18,13,13,98,338,21,172,166,169
11,252,147,18,12,13,99,339,21,171,164,112
11,253,146,18,12,13,100,340,21,170,163,115
12,252,146,18,12,13,101,335,21,169,162,165
12,262,148,18,11,13,103,335,21,173,160,166
12,276,148,19,11,13,104,335,20,172,156,149
12,290,147,19,11,14,106,336,20,171,149,152
12,299,147,19,11,14,107,336,22,178,146,156
12,305,147,19,11,14,109,336,22,178,143,161
173,305,146,19,10,15,111,177,21,178,142,164
175,311,146,19,10,15,116,177,21,187,138,166
177,311,145,19,10,16,122,177,21,188,135,167
181,316,146,19,10,16,127,179,21,188,133,168
184,316,146,19,10,16,132,180,21,189,131,169
185,321,146,19,10,17,137,182,21,190,130,169
186,321,146,19,10,17,141,183,21,190,129,163
186,321,146,19,10,342,145,182,23,191,153,162
185,322,143,19,10,348,148,181,24,193,169,161
185,323,143,19,10,353,151,179,24,203,180,159
184,324,143,19,10,359,153,178,25,207,163,157
184,327,144,19,11,4,154,177,26,210,165,156
184,329,144,19,11,9,155,177,26,215,165,155
183,331,144,19,11,8,155,177,27,230,149,154
181,333,139,19,12,8,154,176,28,235,149,154
179,336,139,19,12,7,154,175,33,239,150,154
177,339,139,19,12,7,153,176,34,241,150,154
176,339,139,19,13,6,151,178,34,244,150,154
174,342,139,19,13,6,150,179,35,246,151,154
182,345,134,19,12,5,149,183,35,248,152,144
181,349,134,19,13,5,147,182,36,250,154,144
180,350,134,19,13,5,146,183,36,253,154,145
179,353,134,19,13,5,145,185,37,255,155,148
190,360,134,19,312,6,143,186,38,257,160,145
190,2,134,19,317,11,142,187,129,259,174,142
190,4,157,19,320,12,141,189,125,263,209,139
188,5,155,19,323,12,146,191,125,268,200,144
186,6,153,19,322,13,146,194,125,273,199,141
198,6,152,19,326,13,146,185,125,278,187,138
198,7,150,19,332,14,145,186,125,282,184,134
199,8,147,19,342,14,145,185,125,286,176,129
200,8,147,19,347,14,145,184,124,289,173,123
203,8,148,19,353,15,144,194,125,292,172,102
194,7,147,19,358,15,143,194,124,294,173,100
198,7,150,19,1,15,124,191,124,307,176,94
201,6,148,19,5,15,123,186,124,309,179,92
204,8,152,19,9,15,121,182,123,310,180,91
201,8,151,19,356,15,120,178,126,311,180,87
206,7,155,20,357,17,119,174,126,312,180,88
210,230,154,20,357,17,118,172,125,312,180,88
212,227,159,20,354,17,117,171,129,314,180,89
216,225,158,20,354,16,116,182,128,315,179,89
218,223,157,336,354,16,115,186,128,317,177,89
218,223,156,343,354,15,113,190,131,313,175,88
216,222,155,349,352,15,111,194,131,307,173,88
221,218,155,347,351,14,109,187,130,308,183,88
249,218,154,343,351,14,105,190,129,309,180,87
266,217,153,349,351,13,101,192,127,309,176,87
277,216,154,345,352,13,95,194,125,308,173,88
296,215,158,341,353,13,46,195,130,219,171,89
312,215,158,346,1,13,42,198,128,216,176,90
326,214,157,343,3,13,41,200,126,214,173,92
329,214,156,339,4,13,40,201,124,209,170,93
331,211,155,344,1,13,41,200,122,207,166,94
333,211,152,341,3,13,42,199,121,203,163,95
335,211,151,337,4,13,43,197,119,203,167,97
336,211,149,334,6,13,44,200,122,201,164,99
341,212,147,330,7,13,45,197,121,199,162,100
338,213,144,245,8,13,45,194,121,201,161,100
335,213,142,244,10,13,44,200,121,200,160,100
331,215,140,244,11,13,43,200,121,200,159,101
332,217,138,247,12,13,42,201,121,203,158,101
328,225,137,249,13,13,40,232,121,202,157,99
325,245,136,259,12,13,37,235,121,200,157,98
330,253,136,270,12,13,34,238,122,204,154,97
329,257,135,277,13,13,30,241,122,200,315,96
329,258,134,284,14,13,144,243,122,201,313,95
329,260,133,295,14,13,147,244,122,199,312,94
329,262,133,299,15,12,272,243,122,197,313,94
329,263,133,303,15,12,272,236,122,199,313,92
335,264,132,313,16,12,281,220,122,198,311,92
335,264,133,315,14,12,285,197,122,197,313,92
332,263,133,318,15,12,291,176,122,197,311,92
